ID,Information type
[1188479688668266496],caution_advice_and_crisis_updates
[1188479712265461766],caution_advice_and_crisis_updates
[1188479733178228744],opinions_and_criticism
[1188479735904571395],opinions_and_criticism
[1188479742791602176],irrelevant
[1188479749762498565],irrelevant
[1188479751540891649],infrastructure_and_utilities_damage
[1188479753755545600],emotional_support_and_prayers
[1188479756871852032],caution_advice_and_crisis_updates
[1188479770394279938],caution_advice_and_crisis_updates
[1188479784113840130],caution_advice_and_crisis_updates
[1188479821904580609],irrelevant
[1188479834395205635],caution_advice_and_crisis_updates
[1188479842909655040],opinions_and_criticism
[1188479858256613376],caution_advice_and_crisis_updates
[1188479862580875266],emotional_support_and_prayers
[1188479865336598529],caution_advice_and_crisis_updates
[1188479870483009536],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188479900749107200],opinions_and_criticism
[1188479909703933952],emotional_support_and_prayers
[1188479920395247627],infrastructure_and_utilities_damage
[1188479924266553344],caution_advice_and_crisis_updates
[1188479926804123648],infrastructure_and_utilities_damage
[1188479933292658690],caution_advice_and_crisis_updates
[1188479955702878208],infrastructure_and_utilities_damage
[1188479958873718784],caution_advice_and_crisis_updates
[1188479966394105858],caution_advice_and_crisis_updates
[1188479969409810432],caution_advice_and_crisis_updates
[1188479968461934593],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188479989269876736],caution_advice_and_crisis_updates
[1188479990783983616],irrelevant
[1188480001324261377],caution_advice_and_crisis_updates
[1188480007938695171],infrastructure_and_utilities_damage
[1188480006789517314],caution_advice_and_crisis_updates
[1188480015278710786],caution_advice_and_crisis_updates
[1188480033234587648],opinions_and_criticism
[1188480039437963267],caution_advice_and_crisis_updates
[1188480066105364485],caution_advice_and_crisis_updates
[1188480081724919810],caution_advice_and_crisis_updates
[1188480083004133377],caution_advice_and_crisis_updates
[1188480099735293954],caution_advice_and_crisis_updates
[1188480149307711489],infrastructure_and_utilities_damage
[1188480166680510464],caution_advice_and_crisis_updates
[1188480213954580482],opinions_and_criticism
[1188480239481098247],opinions_and_criticism
[1188480284884385792],irrelevant
[1188480310050246657],caution_advice_and_crisis_updates
[1188480353805262848],infrastructure_and_utilities_damage caution_advice_and_crisis_updates emotional_support_and_prayers
[1188480355319406592],emotional_support_and_prayers
[1188480391063187456],emotional_support_and_prayers
[1188480402899558400],caution_advice_and_crisis_updates
[1188480432364494849],infrastructure_and_utilities_damage
[1188480473514856449],emotional_support_and_prayers
[1188480477277147137],caution_advice_and_crisis_updates
[1188480495505563648],caution_advice_and_crisis_updates
[1188480513528303616],emotional_support_and_prayers
[1188480519022886914],caution_advice_and_crisis_updates
[1188480537289265152],irrelevant
[1188480571653214209],irrelevant
[1188480575092461573],irrelevant
[1188480596768677888],infrastructure_and_utilities_damage opinions_and_criticism
[1188480600681963521],affected_individuals_and_help
[1188480621418553345],caution_advice_and_crisis_updates
[1188480623251546118],irrelevant
[1188480625453473792],caution_advice_and_crisis_updates
[1188480688380633089],caution_advice_and_crisis_updates
[1188480711780687873],infrastructure_and_utilities_damage
[1188480765937537036],irrelevant
[1188480786044985344],caution_advice_and_crisis_updates
[1188480789241061377],irrelevant
[1188480787911512067],irrelevant
[1188480796778209287],irrelevant
[1188480803812061184],irrelevant
[1188480811567407110],irrelevant
[1188480830848544769],irrelevant
[1188480830580166661],caution_advice_and_crisis_updates
[1188480836448018433],caution_advice_and_crisis_updates
[1188480837249044485],irrelevant
[1188480877099180032],irrelevant
[1188480885059936258],caution_advice_and_crisis_updates
[1188480888964866049],infrastructure_and_utilities_damage
[1188480893922488321],irrelevant
[1188480897110200320],irrelevant
[1188480906148962306],irrelevant
[1188480936872239106],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188480968769835008],infrastructure_and_utilities_damage
[1188480968652406784],emotional_support_and_prayers
[1188480983793897473],opinions_and_criticism
[1188480995495800837],caution_advice_and_crisis_updates
[1188481015892860928],infrastructure_and_utilities_damage
[1188481058494439425],caution_advice_and_crisis_updates
[1188481079327576064],emotional_support_and_prayers
[1188481100760473601],irrelevant
[1188481106716299264],caution_advice_and_crisis_updates
[1188481170083864576],opinions_and_criticism
[1188481204405841920],caution_advice_and_crisis_updates
[1188481202367401986],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188481213188726784],caution_advice_and_crisis_updates
[1188481211594919936],emotional_support_and_prayers
[1188481230653792256],caution_advice_and_crisis_updates
[1188481234105749511],emotional_support_and_prayers
[1188481240468525058],caution_advice_and_crisis_updates
[1188481304523956224],infrastructure_and_utilities_damage
[1188481328775344130],infrastructure_and_utilities_damage
[1188481333535875073],caution_advice_and_crisis_updates
[1188481332285976579],caution_advice_and_crisis_updates
[1188481337612742656],emotional_support_and_prayers
[1188481342524350466],irrelevant
[1188481347226128385],emotional_support_and_prayers
[1188481355337867269],caution_advice_and_crisis_updates
[1188481381170585603],emotional_support_and_prayers
[1188481437412089865],irrelevant
[1188481449290276866],irrelevant
[1188481493208883201],caution_advice_and_crisis_updates
[1188481498132963329],caution_advice_and_crisis_updates
[1188481499923910657],irrelevant
[1188481518378897408],opinions_and_criticism
[1188481546803654656],caution_advice_and_crisis_updates
[1188481577736720388],opinions_and_criticism
[1188481593767268357],irrelevant
[1188481606941630466],irrelevant
[1188481619105058823],irrelevant
[1188481637480325120],opinions_and_criticism
[1188481664806248448],infrastructure_and_utilities_damage caution_advice_and_crisis_updates
[1188481668887318530],opinions_and_criticism
[1188481686587281415],infrastructure_and_utilities_damage caution_advice_and_crisis_updates
[1188481693600096256],irrelevant
[1188481736696651776],caution_advice_and_crisis_updates
[1188481741004201984],opinions_and_criticism
[1188481745605349376],infrastructure_and_utilities_damage
[1188481751259238400],emotional_support_and_prayers
[1188481756229447680],caution_advice_and_crisis_updates
[1188481775993004032],caution_advice_and_crisis_updates
[1188481780103438337],opinions_and_criticism
[1188481788030652418],caution_advice_and_crisis_updates
[1188481817990631424],irrelevant
[1188481900245127168],caution_advice_and_crisis_updates
[1188481939025600514],affected_individuals_and_help
[1188481956700393473],irrelevant
[1188481967576227841],infrastructure_and_utilities_damage
[1188481966636720128],caution_advice_and_crisis_updates
[1188481980113063943],caution_advice_and_crisis_updates
[1188481997070581762],caution_advice_and_crisis_updates
[1188482034345414656],caution_advice_and_crisis_updates
[1188482081594187776],caution_advice_and_crisis_updates
[1188482110983720962],caution_advice_and_crisis_updates
[1188482125126877184],caution_advice_and_crisis_updates
[1188482128603996160],infrastructure_and_utilities_damage
[1188482134488600577],opinions_and_criticism
[1188482139572101120],emotional_support_and_prayers
[1188482254798020610],caution_advice_and_crisis_updates
[1188482278877519873],irrelevant
[1188482302491484162],irrelevant
[1188482334816952322],caution_advice_and_crisis_updates
[1188482366442016768],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188482378924220418],caution_advice_and_crisis_updates
[1188482415611858948],infrastructure_and_utilities_damage
[1188482493621702656],irrelevant
[1188482507546730496],irrelevant
[1188482520742088709],emotional_support_and_prayers
[1188482539134033926],caution_advice_and_crisis_updates
[1188482553168183296],infrastructure_and_utilities_damage
[1188482584973590533],caution_advice_and_crisis_updates
[1188482589889306629],caution_advice_and_crisis_updates
[1188482610298851328],irrelevant
[1188482613037715456],caution_advice_and_crisis_updates
[1188482622781042688],infrastructure_and_utilities_damage
[1188482624710467584],caution_advice_and_crisis_updates
[1188482637599514626],infrastructure_and_utilities_damage
[1188482652019531777],irrelevant
[1188482671850201089],caution_advice_and_crisis_updates
[1188482691517308934],infrastructure_and_utilities_damage
[1188482696294604802],infrastructure_and_utilities_damage
[1188482745707778048],irrelevant
[1188482787352989696],emotional_support_and_prayers
[1188482798639816707],emotional_support_and_prayers
[1188482798459478018],emotional_support_and_prayers
[1188482805979762688],irrelevant
[1188482844282228736],caution_advice_and_crisis_updates
[1188482860606472192],irrelevant
[1188482886623776769],irrelevant
[1188482897700884480],irrelevant
[1188482911571513344],caution_advice_and_crisis_updates
[1188482982685937664],caution_advice_and_crisis_updates
[1188483047026499584],irrelevant
[1188483079326851077],caution_advice_and_crisis_updates
[1188483077259104262],irrelevant
[1188483111656579072],caution_advice_and_crisis_updates
[1188483132623900672],emotional_support_and_prayers
[1188483143881383937],irrelevant
[1188483150940459009],emotional_support_and_prayers
[1188483181235888128],irrelevant
[1188483197446868995],irrelevant
[1188483288429662210],emotional_support_and_prayers
[1188483294402416646],caution_advice_and_crisis_updates
[1188483295723565056],caution_advice_and_crisis_updates
[1188483300643528704],irrelevant
[1188483328728547331],irrelevant
[1188483340652945409],caution_advice_and_crisis_updates
[1188483347451961344],caution_advice_and_crisis_updates
[1188483350236991491],irrelevant
[1188483385536237570],caution_advice_and_crisis_updates
[1188483452464783364],irrelevant
[1188483476514844683],opinions_and_criticism
[1188483485155155968],irrelevant
[1188483509037555720],irrelevant
[1188483598799790080],caution_advice_and_crisis_updates
[1188483650721140737],irrelevant
[1188483733881577472],caution_advice_and_crisis_updates
[1188483753863241729],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188483756874706951],irrelevant
[1188483885383979009],opinions_and_criticism
[1188483913636876288],infrastructure_and_utilities_damage opinions_and_criticism
[1188483972927557634],emotional_support_and_prayers
[1188484009443110912],opinions_and_criticism
[1188484013515825158],irrelevant
[1188484038971011072],caution_advice_and_crisis_updates
[1188484042456551430],caution_advice_and_crisis_updates
[1188484059548307456],caution_advice_and_crisis_updates
[1188484072483512320],emotional_support_and_prayers
[1188484122521559041],irrelevant
[1188484165106307074],affected_individuals_and_help
[1188484267749367808],infrastructure_and_utilities_damage
[1188484276330881024],irrelevant
[1188484290058817536],caution_advice_and_crisis_updates
[1188484339102818306],caution_advice_and_crisis_updates
[1188484343414571008],caution_advice_and_crisis_updates
[1188484388851519489],caution_advice_and_crisis_updates
[1188484462730006530],emotional_support_and_prayers
[1188484487166005249],opinions_and_criticism
[1188484500487098373],emotional_support_and_prayers
[1188484535685701639],infrastructure_and_utilities_damage
[1188484773888614401],opinions_and_criticism
[1188484805660426241],caution_advice_and_crisis_updates
[1188484810005762048],emotional_support_and_prayers
[1188484819111567370],caution_advice_and_crisis_updates
[1188484859234258944],infrastructure_and_utilities_damage caution_advice_and_crisis_updates
[1188484912472559617],caution_advice_and_crisis_updates
[1188484938229862403],emotional_support_and_prayers
[1188484936942215169],caution_advice_and_crisis_updates
[1188484972056924160],caution_advice_and_crisis_updates
[1188484971834626048],caution_advice_and_crisis_updates
[1188484983717072898],caution_advice_and_crisis_updates
[1188485003031785480],irrelevant
[1188485003753246720],emotional_support_and_prayers
[1188485007234482179],emotional_support_and_prayers
[1188485047629897730],caution_advice_and_crisis_updates
[1188485065334022145],caution_advice_and_crisis_updates
[1188485248784502785],caution_advice_and_crisis_updates
[1188485341713502208],irrelevant
[1188485351477841925],emotional_support_and_prayers
[1188485372222812160],caution_advice_and_crisis_updates
[1188485393336979456],irrelevant
[1188485432486649858],emotional_support_and_prayers
[1188485564800131072],caution_advice_and_crisis_updates
[1188485617753174016],caution_advice_and_crisis_updates
[1188485638502473729],caution_advice_and_crisis_updates opinions_and_criticism
[1188485786552934401],opinions_and_criticism
[1188485804890476556],opinions_and_criticism
[1188485812465360896],caution_advice_and_crisis_updates
[1188485856878878721],irrelevant
[1188485904664535040],irrelevant
[1188485923677392896],caution_advice_and_crisis_updates
[1188485973560172544],emotional_support_and_prayers
[1188486009396367362],opinions_and_criticism
[1188486059501506560],infrastructure_and_utilities_damage opinions_and_criticism
[1188486072864522240],caution_advice_and_crisis_updates
[1188486071480442880],caution_advice_and_crisis_updates
[1188486149632856064],irrelevant
[1188486214338383872],infrastructure_and_utilities_damage
[1188486405095342080],caution_advice_and_crisis_updates
[1188486455024324611],caution_advice_and_crisis_updates
[1188486573349834754],emotional_support_and_prayers
[1188486618489016320],irrelevant
[1188486667797176320],irrelevant
[1188486670317948928],irrelevant
[1188486817231839232],irrelevant
[1188486874064703488],caution_advice_and_crisis_updates
[1188486955408998400],irrelevant
[1188486979693867008],opinions_and_criticism
[1188487050129039360],irrelevant
[1188487067568881665],caution_advice_and_crisis_updates
[1188487087844184064],irrelevant
[1188487210175209473],opinions_and_criticism
[1188487257046634497],caution_advice_and_crisis_updates
[1188487267565760512],infrastructure_and_utilities_damage
[1188487272452296704],irrelevant
[1188487334163034113],irrelevant
[1188487372465414145],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188487409148813316],irrelevant
[1188487418317623307],infrastructure_and_utilities_damage
[1188487518729199616],caution_advice_and_crisis_updates
[1188487569601900547],emotional_support_and_prayers
[1188487647469228034],opinions_and_criticism
[1188487752565870593],irrelevant
[1188487840356880385],irrelevant
[1188487845033500672],caution_advice_and_crisis_updates
[1188487934254682112],irrelevant
[1188488356973465601],emotional_support_and_prayers
[1188488407485440002],irrelevant
[1188488483872096256],opinions_and_criticism
[1188488754157309953],caution_advice_and_crisis_updates
[1188488800286269448],irrelevant
[1188488805508100098],irrelevant
[1188488935682576387],irrelevant
[1188488959934042113],irrelevant
[1188488967794122755],irrelevant
[1188489071137644545],caution_advice_and_crisis_updates
[1188489095741399041],irrelevant
[1188489158362357761],emotional_support_and_prayers
[1188489206001213440],caution_advice_and_crisis_updates
[1188489240067395588],irrelevant
[1188489257775706112],infrastructure_and_utilities_damage
[1188489273143640064],infrastructure_and_utilities_damage
[1188489695472291840],emotional_support_and_prayers
[1188489708826853376],opinions_and_criticism
[1188489801533739008],caution_advice_and_crisis_updates
[1188489955984760832],irrelevant
[1188490062348144640],irrelevant
[1188490094270996482],irrelevant
[1188490269316014083],irrelevant
[1188490266400956416],infrastructure_and_utilities_damage
[1188490284566487040],caution_advice_and_crisis_updates
[1188490305038880769],emotional_support_and_prayers
[1188490315365277697],irrelevant
[1188490437851521025],irrelevant
[1188490664960499713],irrelevant
[1188490705603387392],affected_individuals_and_help
[1188490736397885440],opinions_and_criticism
[1188490746439098368],caution_advice_and_crisis_updates
[1188490788688351233],caution_advice_and_crisis_updates
[1188490862256443392],irrelevant
[1188490862105415680],caution_advice_and_crisis_updates
[1188490981345284096],caution_advice_and_crisis_updates
[1188491023837749248],emotional_support_and_prayers
[1188491548436160515],caution_advice_and_crisis_updates
[1188491601963900928],irrelevant
[1188491773049495552],emotional_support_and_prayers
[1188491877110222849],caution_advice_and_crisis_updates
[1188491968868954112],caution_advice_and_crisis_updates
[1188492028478402560],emotional_support_and_prayers
[1188492039538786304],irrelevant
[1188492061550567424],opinions_and_criticism
[1188492066722070531],caution_advice_and_crisis_updates
[1188492309547180032],emotional_support_and_prayers
[1188492369152356354],opinions_and_criticism
[1188492389834510337],irrelevant
[1188492401293385729],caution_advice_and_crisis_updates
[1188492523980967936],caution_advice_and_crisis_updates
[1188492546525319174],irrelevant
[1188492788364664833],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188492842035007488],caution_advice_and_crisis_updates
[1188492854307540992],caution_advice_and_crisis_updates
[1188492861861519361],irrelevant
[1188492887174057987],irrelevant
[1188492931029753859],irrelevant
[1188493010998300678],irrelevant
[1188493081194225669],infrastructure_and_utilities_damage
[1188493109400875008],emotional_support_and_prayers
[1188493269514293252],caution_advice_and_crisis_updates
[1188493301244190720],irrelevant
[1188493404914814976],irrelevant
[1188493505435504640],caution_advice_and_crisis_updates
[1188493685228523522],caution_advice_and_crisis_updates
[1188493765348089856],caution_advice_and_crisis_updates
[1188493797031841792],caution_advice_and_crisis_updates
[1188493841743175682],caution_advice_and_crisis_updates
[1188493843479568385],emotional_support_and_prayers
[1188493858327486466],opinions_and_criticism
[1188493875876368384],opinions_and_criticism
[1188493933841653760],infrastructure_and_utilities_damage
[1188494045796098049],emotional_support_and_prayers
[1188494101957828610],caution_advice_and_crisis_updates
[1188494304559456256],irrelevant
[1188494376818872321],caution_advice_and_crisis_updates
[1188494464580493313],opinions_and_criticism
[1188494518980632578],opinions_and_criticism
[1188494519110635521],irrelevant
[1188494704285016065],caution_advice_and_crisis_updates
[1188494797897719808],caution_advice_and_crisis_updates
[1188494978009518081],caution_advice_and_crisis_updates
[1188495133106413570],caution_advice_and_crisis_updates
[1188495201184239624],affected_individuals_and_help
[1188495548413820929],caution_advice_and_crisis_updates
[1188495769428463618],infrastructure_and_utilities_damage emotional_support_and_prayers
[1188495809412767744],irrelevant
[1188495852798697472],affected_individuals_and_help infrastructure_and_utilities_damage
[1188495943236313088],irrelevant
[1188496007052644352],irrelevant
[1188496050744639488],irrelevant
[1188496175755878402],irrelevant
[1188496447722921986],infrastructure_and_utilities_damage caution_advice_and_crisis_updates
[1188496503712735233],caution_advice_and_crisis_updates
[1188496525279879169],irrelevant
[1188496563531853824],caution_advice_and_crisis_updates
[1188496944911568896],affected_individuals_and_help infrastructure_and_utilities_damage
[1188497042110320640],irrelevant
[1188497089405345792],irrelevant
[1188497219856535552],caution_advice_and_crisis_updates
[1188497252911865858],irrelevant
[1188497580105314305],irrelevant
[1188497640704675840],irrelevant
[1188497834124947457],emotional_support_and_prayers
[1188497951267741697],irrelevant
[1188498235851247616],irrelevant
[1188498410359480321],opinions_and_criticism
[1188498604874448899],opinions_and_criticism
[1188498632695255040],caution_advice_and_crisis_updates
[1188498829856968704],emotional_support_and_prayers
[1188498897859219458],irrelevant
[1188499094836334594],caution_advice_and_crisis_updates
[1188499289531736064],emotional_support_and_prayers
[1188499347018674179],infrastructure_and_utilities_damage
[1188499528166588427],caution_advice_and_crisis_updates
[1188499548005634049],caution_advice_and_crisis_updates
[1188499699914936323],opinions_and_criticism
[1188499790738407424],irrelevant
[1188499880920211457],irrelevant
[1188499944526749696],infrastructure_and_utilities_damage
[1188500116421914625],opinions_and_criticism
[1188500124818915329],caution_advice_and_crisis_updates
[1188500196877127680],irrelevant
[1188500215801794561],infrastructure_and_utilities_damage
[1188500234328068098],emotional_support_and_prayers
[1188500305505325056],caution_advice_and_crisis_updates
[1188500372375195649],irrelevant
[1188500471591395328],infrastructure_and_utilities_damage
[1188500635626418176],caution_advice_and_crisis_updates
[1188500690659938304],infrastructure_and_utilities_damage
[1188500944872464390],caution_advice_and_crisis_updates
[1188501179933876228],emotional_support_and_prayers
[1188501208157347840],opinions_and_criticism
[1188501388856385537],irrelevant
[1188501512818962432],caution_advice_and_crisis_updates
[1188501742922686465],opinions_and_criticism
[1188502025044135936],caution_advice_and_crisis_updates
[1188502030664585216],caution_advice_and_crisis_updates
[1188502245081604096],irrelevant
[1188502304917524480],irrelevant
[1188502365042827266],caution_advice_and_crisis_updates
[1188502451164532736],caution_advice_and_crisis_updates
[1188502739824922629],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188502960248164352],emotional_support_and_prayers
[1188503174220603392],irrelevant
[1188503285617057797],caution_advice_and_crisis_updates
[1188503450419712000],irrelevant
[1188503475912675329],opinions_and_criticism
[1188503513522933762],emotional_support_and_prayers
[1188503576454279168],caution_advice_and_crisis_updates
[1188503594665943040],irrelevant
[1188503713348050945],opinions_and_criticism
[1188503995519766528],opinions_and_criticism
[1188504143381630978],irrelevant
[1188504376622682113],caution_advice_and_crisis_updates
[1188504497968078849],opinions_and_criticism
[1188504595112353792],opinions_and_criticism
[1188504605451259909],caution_advice_and_crisis_updates
[1188504626682834944],irrelevant
[1188504671431942147],opinions_and_criticism
[1188504682555154433],irrelevant
[1188504874708865030],irrelevant
[1188505275822727170],irrelevant
[1188505544191041542],caution_advice_and_crisis_updates
[1188505545902379009],irrelevant
[1188505635006177281],emotional_support_and_prayers
[1188505664802435072],irrelevant
[1188505745161109506],irrelevant
[1188505822151823360],caution_advice_and_crisis_updates
[1188505835363885056],irrelevant
[1188505851738374149],emotional_support_and_prayers
[1188505852090691584],infrastructure_and_utilities_damage
[1188505952187748355],caution_advice_and_crisis_updates
[1188506040163340288],emotional_support_and_prayers
[1188506242190323717],irrelevant
[1188506514631380992],caution_advice_and_crisis_updates
[1188506514132258818],irrelevant
[1188506610878033920],caution_advice_and_crisis_updates
[1188506654452736000],caution_advice_and_crisis_updates
[1188506803627347969],caution_advice_and_crisis_updates
[1188506808752787457],caution_advice_and_crisis_updates
[1188506948104273920],irrelevant
[1188507030719479808],irrelevant
[1188507163838296064],emotional_support_and_prayers
[1188507353278234627],caution_advice_and_crisis_updates
[1188507468386701312],irrelevant
[1188507507380998146],irrelevant
[1188507675769868288],irrelevant
[1188507830149619712],irrelevant
[1188508529616982017],irrelevant
[1188508962775277570],caution_advice_and_crisis_updates
[1188509071676231688],emotional_support_and_prayers
[1188509102529568773],emotional_support_and_prayers
[1188509678696910853],opinions_and_criticism
[1188510434984431616],infrastructure_and_utilities_damage
[1188510451660967939],opinions_and_criticism
[1188510494602289152],infrastructure_and_utilities_damage
[1188510615821848577],caution_advice_and_crisis_updates
[1188510684289601537],emotional_support_and_prayers
[1188511643594121216],caution_advice_and_crisis_updates
[1188511717397090309],irrelevant
[1188512039142088704],irrelevant
[1188512362694885376],caution_advice_and_crisis_updates
[1188512372840898562],opinions_and_criticism
[1188512371427463168],caution_advice_and_crisis_updates
[1188512392323457026],irrelevant
[1188512583617302529],irrelevant
[1188512793600974849],irrelevant
[1188512886315991043],irrelevant
[1188513001122361346],emotional_support_and_prayers
[1188513112103759872],caution_advice_and_crisis_updates
[1188513403238789120],caution_advice_and_crisis_updates
[1188513421672755200],irrelevant
[1188513444783443969],irrelevant
[1188513451410370560],irrelevant
[1188513508863946757],caution_advice_and_crisis_updates
[1188513886602969088],emotional_support_and_prayers
[1188513948443840512],opinions_and_criticism
[1188514088416137216],caution_advice_and_crisis_updates
[1188514253017440261],irrelevant
[1188514496865804290],emotional_support_and_prayers
[1188514547667230724],caution_advice_and_crisis_updates
[1188514705301749762],caution_advice_and_crisis_updates
[1188514803402395649],irrelevant
[1188514827385348096],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188514844032548865],caution_advice_and_crisis_updates
[1188514938945454080],irrelevant
[1188514975112990727],caution_advice_and_crisis_updates
[1188515028976226305],opinions_and_criticism
[1188515110735749123],caution_advice_and_crisis_updates
[1188515589771448321],opinions_and_criticism
[1188515669983289344],irrelevant
[1188515892587614209],irrelevant
[1188516081897480192],irrelevant
[1188516139984457729],caution_advice_and_crisis_updates
[1188516276018257922],caution_advice_and_crisis_updates
[1188516430460968960],caution_advice_and_crisis_updates
[1188517130335113216],emotional_support_and_prayers
[1188517196391165958],opinions_and_criticism
[1188517199377555462],infrastructure_and_utilities_damage
[1188517564089012224],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188517705856487425],caution_advice_and_crisis_updates
[1188517994827264002],irrelevant
[1188518049911103489],infrastructure_and_utilities_damage
[1188518234733105154],opinions_and_criticism
[1188518287593881601],opinions_and_criticism
[1188518369584136197],opinions_and_criticism
[1188518600249892869],opinions_and_criticism
[1188518711772274688],irrelevant
[1188518769313890304],opinions_and_criticism
[1188518880651685890],irrelevant
[1188518920237522944],irrelevant
[1188518921407729669],caution_advice_and_crisis_updates
[1188518993893691392],emotional_support_and_prayers
[1188519143244533760],irrelevant
[1188519245833031680],irrelevant
[1188519251528900609],irrelevant
[1188519290984685569],emotional_support_and_prayers
[1188519424023769090],caution_advice_and_crisis_updates
[1188519432555061250],caution_advice_and_crisis_updates
[1188519505338732549],opinions_and_criticism
[1188519736545632257],irrelevant
[1188520014112067589],caution_advice_and_crisis_updates
[1188520123436589059],opinions_and_criticism
[1188520402781425665],caution_advice_and_crisis_updates
[1188520447937339392],irrelevant
[1188520678489821187],opinions_and_criticism
[1188520733506523138],irrelevant
[1188520873231343617],caution_advice_and_crisis_updates emotional_support_and_prayers
[1188520970409119745],caution_advice_and_crisis_updates
[1188521185308545024],caution_advice_and_crisis_updates
[1188521265843310597],caution_advice_and_crisis_updates
[1188521306888818693],opinions_and_criticism
[1188521534551396359],irrelevant
[1188521614083792896],opinions_and_criticism
[1188521621738401795],irrelevant
[1188521878413103105],irrelevant
[1188522005286526976],irrelevant
[1188522338075271169],caution_advice_and_crisis_updates
