ID,Information type,affected_individuals_and_help,caution_advice_and_crisis_updates,emotional_support_and_prayers,infrastructure_and_utilities_damage,irrelevant,opinions_and_criticism
[1056648267226890240],emotional_support_and_prayers,0,0,1,0,0,0
[1056808221292273664],irrelevant,0,0,0,0,1,0
[1057874300332589056],affected_individuals_and_help,1,0,0,0,0,0
[1058031224885821440],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1058037220161011712],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1058441087411503105],opinions_and_criticism,0,0,0,0,0,1
[1060630306821210112],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060881230990848000],emotional_support_and_prayers,0,0,1,0,0,0
[1060890319967936512],affected_individuals_and_help,1,0,0,0,0,0
[1060896200730255362],emotional_support_and_prayers,0,0,1,0,0,0
[1060902906369576960],affected_individuals_and_help,1,0,0,0,0,0
[1060916804460134401],affected_individuals_and_help,1,0,0,0,0,0
[1060922234494169090],opinions_and_criticism,0,0,0,0,0,1
[1060923443812712448],opinions_and_criticism,0,0,0,0,0,1
[1060924942110412800],affected_individuals_and_help,1,0,0,0,0,0
[1060925152593092608],emotional_support_and_prayers,0,0,1,0,0,0
[1060925832640806912],affected_individuals_and_help,1,0,0,0,0,0
[1060927054030483458],opinions_and_criticism,0,0,0,0,0,1
[1060927855314518017],irrelevant,0,0,0,0,1,0
[1060927914651222016],opinions_and_criticism,0,0,0,0,0,1
[1060929345336705026],opinions_and_criticism,0,0,0,0,0,1
[1060930307455676417],opinions_and_criticism,0,0,0,0,0,1
[1060930517216956416],opinions_and_criticism,0,0,0,0,0,1
[1060930896491134977],opinions_and_criticism,0,0,0,0,0,1
[1060932059047358466],opinions_and_criticism,0,0,0,0,0,1
[1060933547689697281],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060933605277331456],affected_individuals_and_help opinions_and_criticism,1,0,0,0,0,1
[1060934507451293697],affected_individuals_and_help caution_advice_and_crisis_updates,1,1,0,0,0,0
[1060935527216615424],affected_individuals_and_help,1,0,0,0,0,0
[1060936005526712320],opinions_and_criticism,0,0,0,0,0,1
[1060936318715346944],opinions_and_criticism,0,0,0,0,0,1
[1060941494855626752],emotional_support_and_prayers,0,0,1,0,0,0
[1060941912289480709],opinions_and_criticism,0,0,0,0,0,1
[1060942595566850051],opinions_and_criticism,0,0,0,0,0,1
[1060943134694236161],affected_individuals_and_help,1,0,0,0,0,0
[1060943399233208320],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060944066265968642],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1060946107960868865],emotional_support_and_prayers,0,0,1,0,0,0
[1060946544613122048],opinions_and_criticism,0,0,0,0,0,1
[1060946567635570689],affected_individuals_and_help,1,0,0,0,0,0
[1060946760229621760],emotional_support_and_prayers,0,0,1,0,0,0
[1060947015146856448],affected_individuals_and_help,1,0,0,0,0,0
[1060947629503401984],opinions_and_criticism,0,0,0,0,0,1
[1060948062691098624],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060948139530686465],emotional_support_and_prayers,0,0,1,0,0,0
[1060948532633448448],opinions_and_criticism,0,0,0,0,0,1
[1060948762514862086],affected_individuals_and_help opinions_and_criticism,1,0,0,0,0,1
[1060949373025222656],emotional_support_and_prayers,0,0,1,0,0,0
[1060949408873922560],opinions_and_criticism,0,0,0,0,0,1
[1060949701002964992],opinions_and_criticism,0,0,0,0,0,1
[1060949775577739264],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060950420439343104],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060952164162564096],opinions_and_criticism,0,0,0,0,0,1
[1060953057889001472],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1060953262822694915],opinions_and_criticism,0,0,0,0,0,1
[1060953795050520576],emotional_support_and_prayers,0,0,1,0,0,0
[1060954142426980357],emotional_support_and_prayers,0,0,1,0,0,0
[1060954149632778240],emotional_support_and_prayers,0,0,1,0,0,0
[1060955070781710337],affected_individuals_and_help infrastructure_and_utilities_damage,1,0,0,1,0,0
[1060955165694533633],emotional_support_and_prayers,0,0,1,0,0,0
[1060955764817301504],emotional_support_and_prayers,0,0,1,0,0,0
[1060956385490407430],opinions_and_criticism,0,0,0,0,0,1
[1060957447899242497],affected_individuals_and_help,1,0,0,0,0,0
[1060957617428803585],opinions_and_criticism,0,0,0,0,0,1
[1060958416661815299],affected_individuals_and_help,1,0,0,0,0,0
[1060958607901163520],opinions_and_criticism,0,0,0,0,0,1
[1060958789543845888],affected_individuals_and_help,1,0,0,0,0,0
[1060959203475574787],affected_individuals_and_help,1,0,0,0,0,0
[1060959404504297472],emotional_support_and_prayers,0,0,1,0,0,0
[1060960296251080704],opinions_and_criticism,0,0,0,0,0,1
[1060961604374802432],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1060961630689878016],opinions_and_criticism,0,0,0,0,0,1
[1060962441775988736],opinions_and_criticism,0,0,0,0,0,1
[1060963405450919937],emotional_support_and_prayers,0,0,1,0,0,0
[1060963495666221056],affected_individuals_and_help,1,0,0,0,0,0
[1060963857789829120],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060964115676569600],opinions_and_criticism,0,0,0,0,0,1
[1060964200569360389],opinions_and_criticism,0,0,0,0,0,1
[1060964234933133313],emotional_support_and_prayers,0,0,1,0,0,0
[1060964429557317633],opinions_and_criticism,0,0,0,0,0,1
[1060964481952612352],emotional_support_and_prayers,0,0,1,0,0,0
[1060965578331033601],irrelevant,0,0,0,0,1,0
[1060965715488862208],emotional_support_and_prayers,0,0,1,0,0,0
[1060969169175437313],affected_individuals_and_help,1,0,0,0,0,0
[1060969715735126021],emotional_support_and_prayers,0,0,1,0,0,0
[1060970280523165696],affected_individuals_and_help,1,0,0,0,0,0
[1060970449276944384],opinions_and_criticism,0,0,0,0,0,1
[1060970452418478082],emotional_support_and_prayers,0,0,1,0,0,0
[1060970772708110337],opinions_and_criticism,0,0,0,0,0,1
[1060971318227673088],opinions_and_criticism,0,0,0,0,0,1
[1060971423433441282],emotional_support_and_prayers,0,0,1,0,0,0
[1060972122716147713],opinions_and_criticism,0,0,0,0,0,1
[1060972187123965958],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060972472391098368],opinions_and_criticism,0,0,0,0,0,1
[1060972479122993155],opinions_and_criticism,0,0,0,0,0,1
[1060972652045709312],affected_individuals_and_help emotional_support_and_prayers,1,0,1,0,0,0
[1060973063230185472],affected_individuals_and_help,1,0,0,0,0,0
[1060973539010994176],emotional_support_and_prayers,0,0,1,0,0,0
[1060974229951299586],opinions_and_criticism,0,0,0,0,0,1
[1060974745271894017],affected_individuals_and_help emotional_support_and_prayers,1,0,1,0,0,0
[1060975094770610176],affected_individuals_and_help,1,0,0,0,0,0
[1060975391572156416],irrelevant,0,0,0,0,1,0
[1060975856074612736],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060976173377818626],opinions_and_criticism,0,0,0,0,0,1
[1060976472893067272],affected_individuals_and_help emotional_support_and_prayers,1,0,1,0,0,0
[1060977065355366400],affected_individuals_and_help,1,0,0,0,0,0
[1060977317818888193],affected_individuals_and_help,1,0,0,0,0,0
[1060977361775218690],opinions_and_criticism,0,0,0,0,0,1
[1060977805243138049],opinions_and_criticism,0,0,0,0,0,1
[1060978302440144899],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060978896156442625],affected_individuals_and_help,1,0,0,0,0,0
[1060978947494723584],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060979421140656128],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060979592540893184],affected_individuals_and_help,1,0,0,0,0,0
[1060979923060486147],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060980076341280768],affected_individuals_and_help,1,0,0,0,0,0
[1060980312639971329],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060980812471062529],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060981097532743681],emotional_support_and_prayers,0,0,1,0,0,0
[1060981150112509952],affected_individuals_and_help,1,0,0,0,0,0
[1060981372754518016],emotional_support_and_prayers,0,0,1,0,0,0
[1060981903526903818],affected_individuals_and_help,1,0,0,0,0,0
[1060982730391994370],emotional_support_and_prayers,0,0,1,0,0,0
[1060982835958480897],opinions_and_criticism,0,0,0,0,0,1
[1060982956498604033],opinions_and_criticism,0,0,0,0,0,1
[1060984581841661952],affected_individuals_and_help,1,0,0,0,0,0
[1060985098949013505],opinions_and_criticism,0,0,0,0,0,1
[1060986851744497664],emotional_support_and_prayers,0,0,1,0,0,0
[1060987350355005441],emotional_support_and_prayers,0,0,1,0,0,0
[1060987739737333763],affected_individuals_and_help,1,0,0,0,0,0
[1060987931400257536],opinions_and_criticism,0,0,0,0,0,1
[1060987942796169217],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060988030130024448],affected_individuals_and_help,1,0,0,0,0,0
[1060988202385846272],emotional_support_and_prayers,0,0,1,0,0,0
[1060988729706377217],emotional_support_and_prayers,0,0,1,0,0,0
[1060988752875741184],opinions_and_criticism,0,0,0,0,0,1
[1060988768486899712],emotional_support_and_prayers,0,0,1,0,0,0
[1060989054068645888],opinions_and_criticism,0,0,0,0,0,1
[1060989181302837249],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060989226899177472],emotional_support_and_prayers,0,0,1,0,0,0
[1060989236000841733],affected_individuals_and_help,1,0,0,0,0,0
[1060989468356890633],opinions_and_criticism,0,0,0,0,0,1
[1060989605770596352],opinions_and_criticism,0,0,0,0,0,1
[1060989836373450753],emotional_support_and_prayers,0,0,1,0,0,0
[1060989889456545794],emotional_support_and_prayers,0,0,1,0,0,0
[1060990274053267457],irrelevant,0,0,0,0,1,0
[1060990684398829570],emotional_support_and_prayers,0,0,1,0,0,0
[1060990803777073153],emotional_support_and_prayers,0,0,1,0,0,0
[1060990900929748993],opinions_and_criticism,0,0,0,0,0,1
[1060991066869022721],affected_individuals_and_help,1,0,0,0,0,0
[1060991094614298625],emotional_support_and_prayers,0,0,1,0,0,0
[1060991163451224065],emotional_support_and_prayers,0,0,1,0,0,0
[1060991328765595654],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060991342162141184],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060991351091879937],emotional_support_and_prayers,0,0,1,0,0,0
[1060991643124490240],emotional_support_and_prayers,0,0,1,0,0,0
[1060991663454208000],emotional_support_and_prayers,0,0,1,0,0,0
[1060991785168785408],opinions_and_criticism,0,0,0,0,0,1
[1060992158298189827],emotional_support_and_prayers,0,0,1,0,0,0
[1060992404860346369],emotional_support_and_prayers,0,0,1,0,0,0
[1060992864535171078],opinions_and_criticism,0,0,0,0,0,1
[1060993016108929025],opinions_and_criticism,0,0,0,0,0,1
[1060993592116822020],emotional_support_and_prayers,0,0,1,0,0,0
[1060993609913327616],opinions_and_criticism,0,0,0,0,0,1
[1060993621900562432],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060993794013913088],opinions_and_criticism,0,0,0,0,0,1
[1060993895222444033],emotional_support_and_prayers,0,0,1,0,0,0
[1060994365735256066],opinions_and_criticism,0,0,0,0,0,1
[1060994375063351298],opinions_and_criticism,0,0,0,0,0,1
[1060994569045729281],opinions_and_criticism,0,0,0,0,0,1
[1060994767218184192],emotional_support_and_prayers,0,0,1,0,0,0
[1060994804807593984],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1060995069468016640],emotional_support_and_prayers,0,0,1,0,0,0
[1060995282169724931],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060995348372602881],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060995421882015745],emotional_support_and_prayers,0,0,1,0,0,0
[1060995619437924353],emotional_support_and_prayers,0,0,1,0,0,0
[1060995641529262083],emotional_support_and_prayers,0,0,1,0,0,0
[1060995670235119621],opinions_and_criticism,0,0,0,0,0,1
[1060996314958323712],affected_individuals_and_help,1,0,0,0,0,0
[1060996318112440320],emotional_support_and_prayers,0,0,1,0,0,0
[1060996385347133440],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060996468088205312],emotional_support_and_prayers,0,0,1,0,0,0
[1060996508491964418],affected_individuals_and_help,1,0,0,0,0,0
[1060996585528680448],affected_individuals_and_help,1,0,0,0,0,0
[1060996645679173635],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060996698464501760],opinions_and_criticism,0,0,0,0,0,1
[1060996761441972224],opinions_and_criticism,0,0,0,0,0,1
[1060996850180939776],emotional_support_and_prayers,0,0,1,0,0,0
[1060997165135396866],opinions_and_criticism,0,0,0,0,0,1
[1060997198358421512],affected_individuals_and_help,1,0,0,0,0,0
[1060997389757091840],emotional_support_and_prayers,0,0,1,0,0,0
[1060997596301484032],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060997695136022535],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060997713922351104],affected_individuals_and_help,1,0,0,0,0,0
[1060997987437027328],emotional_support_and_prayers,0,0,1,0,0,0
[1060998051870003201],opinions_and_criticism,0,0,0,0,0,1
[1060998158346534912],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060998353784373250],opinions_and_criticism,0,0,0,0,0,1
[1060998398118191105],opinions_and_criticism,0,0,0,0,0,1
[1060998478485184518],emotional_support_and_prayers,0,0,1,0,0,0
[1060998746715111427],opinions_and_criticism,0,0,0,0,0,1
[1060998922603282433],opinions_and_criticism,0,0,0,0,0,1
[1060998942106812416],affected_individuals_and_help,1,0,0,0,0,0
[1060999344927752192],emotional_support_and_prayers,0,0,1,0,0,0
[1060999477555875841],emotional_support_and_prayers,0,0,1,0,0,0
[1060999480508592129],emotional_support_and_prayers,0,0,1,0,0,0
[1060999500934901760],affected_individuals_and_help,1,0,0,0,0,0
[1060999533692358659],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1060999539556077573],opinions_and_criticism,0,0,0,0,0,1
[1060999782062268417],emotional_support_and_prayers,0,0,1,0,0,0
[1060999798940205056],emotional_support_and_prayers,0,0,1,0,0,0
[1060999872835436545],emotional_support_and_prayers,0,0,1,0,0,0
[1060999890938011648],opinions_and_criticism,0,0,0,0,0,1
[1060999965701480449],emotional_support_and_prayers,0,0,1,0,0,0
[1061000013826928640],emotional_support_and_prayers,0,0,1,0,0,0
[1061000082080874497],affected_individuals_and_help,1,0,0,0,0,0
[1061000086837231616],emotional_support_and_prayers,0,0,1,0,0,0
[1061000085524434948],opinions_and_criticism,0,0,0,0,0,1
[1061000206165180419],emotional_support_and_prayers,0,0,1,0,0,0
[1061000229514821638],affected_individuals_and_help,1,0,0,0,0,0
[1061000273794158593],emotional_support_and_prayers,0,0,1,0,0,0
[1061000327741218816],opinions_and_criticism,0,0,0,0,0,1
[1061000419986554880],emotional_support_and_prayers,0,0,1,0,0,0
[1061000426886193154],affected_individuals_and_help,1,0,0,0,0,0
[1061000456837758976],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1061000523149643777],opinions_and_criticism,0,0,0,0,0,1
[1061000551209623552],emotional_support_and_prayers,0,0,1,0,0,0
[1061000630091874304],opinions_and_criticism,0,0,0,0,0,1
[1061000635779309568],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1061000888217669632],emotional_support_and_prayers,0,0,1,0,0,0
[1061001008602591232],opinions_and_criticism,0,0,0,0,0,1
[1061001508135813120],emotional_support_and_prayers,0,0,1,0,0,0
[1061001658623242246],opinions_and_criticism,0,0,0,0,0,1
[1061001670174408704],emotional_support_and_prayers,0,0,1,0,0,0
[1061001834716954624],emotional_support_and_prayers,0,0,1,0,0,0
[1061001892506017793],opinions_and_criticism,0,0,0,0,0,1
[1061001969966481408],emotional_support_and_prayers,0,0,1,0,0,0
[1061002183783735298],emotional_support_and_prayers,0,0,1,0,0,0
[1061002197549436929],emotional_support_and_prayers,0,0,1,0,0,0
[1061002216415391745],opinions_and_criticism,0,0,0,0,0,1
[1061002304495738882],opinions_and_criticism,0,0,0,0,0,1
[1061002415695126529],caution_advice_and_crisis_updates emotional_support_and_prayers,0,1,1,0,0,0
[1061002424104771585],affected_individuals_and_help,1,0,0,0,0,0
[1061002593030283265],irrelevant,0,0,0,0,1,0
[1061002598705176579],emotional_support_and_prayers,0,0,1,0,0,0
[1061002638475563008],affected_individuals_and_help,1,0,0,0,0,0
[1061002723783573504],emotional_support_and_prayers,0,0,1,0,0,0
[1061002794642145285],opinions_and_criticism,0,0,0,0,0,1
[1061002880063361025],emotional_support_and_prayers,0,0,1,0,0,0
[1061002996534968320],emotional_support_and_prayers,0,0,1,0,0,0
[1061003018047574016],opinions_and_criticism,0,0,0,0,0,1
[1061003162964901888],emotional_support_and_prayers,0,0,1,0,0,0
[1061003179003953156],emotional_support_and_prayers,0,0,1,0,0,0
[1061003210872233987],emotional_support_and_prayers,0,0,1,0,0,0
[1061003334734278656],opinions_and_criticism,0,0,0,0,0,1
[1061003422739152896],emotional_support_and_prayers,0,0,1,0,0,0
[1061003566305943553],emotional_support_and_prayers,0,0,1,0,0,0
[1061003609201131520],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1061003611637981185],opinions_and_criticism,0,0,0,0,0,1
[1061003638108229632],opinions_and_criticism,0,0,0,0,0,1
[1061003657490116608],opinions_and_criticism,0,0,0,0,0,1
[1061003711055564802],emotional_support_and_prayers,0,0,1,0,0,0
[1061003847865417728],opinions_and_criticism,0,0,0,0,0,1
[1061003864336461824],opinions_and_criticism,0,0,0,0,0,1
[1061003957080936448],opinions_and_criticism,0,0,0,0,0,1
[1061004202279927808],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1061004223012315141],irrelevant,0,0,0,0,1,0
[1061004224828448768],emotional_support_and_prayers,0,0,1,0,0,0
[1061004556983775238],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1061004666610298890],emotional_support_and_prayers,0,0,1,0,0,0
[1061004743634497537],opinions_and_criticism,0,0,0,0,0,1
[1061004769135869953],opinions_and_criticism,0,0,0,0,0,1
[1061004819249410048],emotional_support_and_prayers,0,0,1,0,0,0
[1061004881908154375],emotional_support_and_prayers,0,0,1,0,0,0
[1061005083238899712],opinions_and_criticism,0,0,0,0,0,1
[1061005109197524998],opinions_and_criticism,0,0,0,0,0,1
[1061005134820446210],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1061005199484030976],emotional_support_and_prayers,0,0,1,0,0,0
[1061005259508715520],affected_individuals_and_help,1,0,0,0,0,0
[1061005307172847616],emotional_support_and_prayers,0,0,1,0,0,0
[1061005342618931201],emotional_support_and_prayers,0,0,1,0,0,0
[1061005352530010113],emotional_support_and_prayers,0,0,1,0,0,0
[1061005439050153984],opinions_and_criticism,0,0,0,0,0,1
[1061005540430622721],emotional_support_and_prayers,0,0,1,0,0,0
[1061005692843241478],emotional_support_and_prayers,0,0,1,0,0,0
[1061005901270790144],emotional_support_and_prayers,0,0,1,0,0,0
[1061005923899072518],affected_individuals_and_help,1,0,0,0,0,0
[1061005983680528384],affected_individuals_and_help,1,0,0,0,0,0
[1061006020766523392],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1061006045349326850],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1061006297963859969],emotional_support_and_prayers,0,0,1,0,0,0
[1061006328557113344],emotional_support_and_prayers,0,0,1,0,0,0
[1061006492231520257],opinions_and_criticism,0,0,0,0,0,1
[1061006515350446080],emotional_support_and_prayers,0,0,1,0,0,0
[1061006587714789381],opinions_and_criticism,0,0,0,0,0,1
[1061006603862900737],emotional_support_and_prayers,0,0,1,0,0,0
[1061006615149797377],emotional_support_and_prayers,0,0,1,0,0,0
[1061006636360392704],emotional_support_and_prayers,0,0,1,0,0,0
[1061006703771168773],emotional_support_and_prayers,0,0,1,0,0,0
[1061006722578464768],opinions_and_criticism,0,0,0,0,0,1
[1061006961465016322],emotional_support_and_prayers,0,0,1,0,0,0
[1061007017870090242],affected_individuals_and_help,1,0,0,0,0,0
[1061007027428843520],opinions_and_criticism,0,0,0,0,0,1
[1061007081216659457],emotional_support_and_prayers,0,0,1,0,0,0
[1061007288398475264],emotional_support_and_prayers,0,0,1,0,0,0
[1061007296636035073],emotional_support_and_prayers,0,0,1,0,0,0
[1061007315514605568],emotional_support_and_prayers,0,0,1,0,0,0
[1061007370057334784],opinions_and_criticism,0,0,0,0,0,1
[1061007387094585347],emotional_support_and_prayers,0,0,1,0,0,0
[1061007402651316224],emotional_support_and_prayers,0,0,1,0,0,0
[1061007424570736640],opinions_and_criticism,0,0,0,0,0,1
[1061007468258619392],opinions_and_criticism,0,0,0,0,0,1
[1061007525426933761],opinions_and_criticism,0,0,0,0,0,1
[1061007528702676992],emotional_support_and_prayers,0,0,1,0,0,0
[1061007580561137664],affected_individuals_and_help opinions_and_criticism,1,0,0,0,0,1
[1061007591705329667],affected_individuals_and_help,1,0,0,0,0,0
[1061007688962846722],opinions_and_criticism,0,0,0,0,0,1
[1061007825420386304],emotional_support_and_prayers,0,0,1,0,0,0
[1061007833611862016],emotional_support_and_prayers,0,0,1,0,0,0
[1061007876070748160],emotional_support_and_prayers,0,0,1,0,0,0
[1061007909633560577],opinions_and_criticism,0,0,0,0,0,1
[1061007909298028545],emotional_support_and_prayers,0,0,1,0,0,0
[1061007920681369608],opinions_and_criticism,0,0,0,0,0,1
[1061008101120319488],affected_individuals_and_help,1,0,0,0,0,0
[1061008155654737920],opinions_and_criticism,0,0,0,0,0,1
[1061008176684904448],emotional_support_and_prayers,0,0,1,0,0,0
[1061008231378628608],emotional_support_and_prayers,0,0,1,0,0,0
[1061008235040305159],emotional_support_and_prayers,0,0,1,0,0,0
[1061008253432356864],emotional_support_and_prayers,0,0,1,0,0,0
[1061008270431797248],affected_individuals_and_help,1,0,0,0,0,0
[1061008274949070848],affected_individuals_and_help,1,0,0,0,0,0
[1061008290283487232],opinions_and_criticism,0,0,0,0,0,1
[1061008382600142851],affected_individuals_and_help,1,0,0,0,0,0
[1061008428787732481],emotional_support_and_prayers,0,0,1,0,0,0
[1061008516306141184],emotional_support_and_prayers,0,0,1,0,0,0
[1061008553144651777],caution_advice_and_crisis_updates,0,1,0,0,0,0
[1061008609239281664],irrelevant,0,0,0,0,1,0
[1061008664323129345],emotional_support_and_prayers,0,0,1,0,0,0
[1061008717041356800],opinions_and_criticism,0,0,0,0,0,1
[1061008766680870912],emotional_support_and_prayers,0,0,1,0,0,0
[1061008835605942275],emotional_support_and_prayers,0,0,1,0,0,0
[1061008905143312384],opinions_and_criticism,0,0,0,0,0,1
[1061008931403771909],opinions_and_criticism,0,0,0,0,0,1
[1061009060609343488],affected_individuals_and_help,1,0,0,0,0,0
[1061009082780434433],opinions_and_criticism,0,0,0,0,0,1
[1061009088119820293],emotional_support_and_prayers,0,0,1,0,0,0
[1061009100786622467],infrastructure_and_utilities_damage,0,0,0,1,0,0
[1061009099742216201],emotional_support_and_prayers,0,0,1,0,0,0
[1061009098777522176],emotional_support_and_prayers,0,0,1,0,0,0
[1061009160760950786],affected_individuals_and_help,1,0,0,0,0,0
[1061009234647810048],affected_individuals_and_help,1,0,0,0,0,0
[1061009269015937024],emotional_support_and_prayers,0,0,1,0,0,0
[1061009282240561152],affected_individuals_and_help,1,0,0,0,0,0
[1061009319188144133],irrelevant,0,0,0,0,1,0
[1061009325517389824],emotional_support_and_prayers,0,0,1,0,0,0
[1061009329946574855],emotional_support_and_prayers opinions_and_criticism,0,0,1,0,0,1
[1061009335457845254],opinions_and_criticism,0,0,0,0,0,1
[1061009396782809088],opinions_and_criticism,0,0,0,0,0,1
[1061009463572922368],opinions_and_criticism,0,0,0,0,0,1
